cell_index,execution_count,table_index,filename,rows,columns,preceding_markdown
41,27,1,cell_041_table_01.csv,24,18,## 12. Extensión independiente: comparación equitativa del código de superficie Esta sección **no modifica ni reemplaza el experimento anterior**. Añade una evaluación complementaria donde el mismo circuito de memoria de código de superfici
44,29,1,cell_044_table_01.csv,3,9,"### Criterio de lectura - `MWPM_aporta=True`: el uso de los síndromes reduce la LER dentro del mismo circuito. - `reducción_relativa > 0`: proporción del error lógico eliminada por MWPM. - Para afirmar escalamiento protector, la LER con MWP"
45,30,1,cell_045_table_01.csv,54,15,"### Criterio de lectura - `MWPM_aporta=True`: el uso de los síndromes reduce la LER dentro del mismo circuito. - `reducción_relativa > 0`: proporción del error lógico eliminada por MWPM. - Para afirmar escalamiento protector, la LER con MWP"
46,31,1,cell_046_table_01.csv,18,7,"### Criterio de lectura - `MWPM_aporta=True`: el uso de los síndromes reduce la LER dentro del mismo circuito. - `reducción_relativa > 0`: proporción del error lógico eliminada por MWPM. - Para afirmar escalamiento protector, la LER con MWP"
47,32,1,cell_047_table_01.csv,5,4,"### Criterio de lectura - `MWPM_aporta=True`: el uso de los síndromes reduce la LER dentro del mismo circuito. - `reducción_relativa > 0`: proporción del error lógico eliminada por MWPM. - Para afirmar escalamiento protector, la LER con MWP"
47,32,2,cell_047_table_02.csv,8,9,"### Criterio de lectura - `MWPM_aporta=True`: el uso de los síndromes reduce la LER dentro del mismo circuito. - `reducción_relativa > 0`: proporción del error lógico eliminada por MWPM. - Para afirmar escalamiento protector, la LER con MWP"
47,32,3,cell_047_table_03.csv,4,4,"### Criterio de lectura - `MWPM_aporta=True`: el uso de los síndromes reduce la LER dentro del mismo circuito. - `reducción_relativa > 0`: proporción del error lógico eliminada por MWPM. - Para afirmar escalamiento protector, la LER con MWP"
51,34,1,cell_051_table_01.csv,3,3,"## 13. Evaluación multimuestra y multisemilla Esta sección complementa las métricas globales con una evaluación sobre **todas las muestras de prueba que contienen ambas clases**. Los resultados se calculan por paso, pero los intervalos se c"
52,35,1,cell_052_table_01.csv,5,19,"## 13. Evaluación multimuestra y multisemilla Esta sección complementa las métricas globales con una evaluación sobre **todas las muestras de prueba que contienen ambas clases**. Los resultados se calculan por paso, pero los intervalos se c"
53,36,1,cell_053_table_01.csv,36,32,"## 13. Evaluación multimuestra y multisemilla Esta sección complementa las métricas globales con una evaluación sobre **todas las muestras de prueba que contienen ambas clases**. Los resultados se calculan por paso, pero los intervalos se c"
54,37,1,cell_054_table_01.csv,18,10,"## 13. Evaluación multimuestra y multisemilla Esta sección complementa las métricas globales con una evaluación sobre **todas las muestras de prueba que contienen ambas clases**. Los resultados se calculan por paso, pero los intervalos se c"
55,38,1,cell_055_table_01.csv,36,9,"## 13. Evaluación multimuestra y multisemilla Esta sección complementa las métricas globales con una evaluación sobre **todas las muestras de prueba que contienen ambas clases**. Los resultados se calculan por paso, pero los intervalos se c"
61,41,1,cell_061_table_01.csv,4,10,"## 14.1 Aporte de CNN, GNN y Transformer respecto de CA El CA se utiliza como línea base mecanística. Las diferencias se calculan sobre el mismo conjunto de prueba. Una diferencia positiva indica mejora respecto del CA; para `Inferencia_s`,"
61,41,2,cell_061_table_02.csv,3,16,"## 14.1 Aporte de CNN, GNN y Transformer respecto de CA El CA se utiliza como línea base mecanística. Las diferencias se calculan sobre el mismo conjunto de prueba. Una diferencia positiva indica mejora respecto del CA; para `Inferencia_s`,"
64,43,1,cell_064_table_01.csv,4,6,"## 14.2 Protección QEC de NDVI, NDMI, NBR y combustible Los cuatro productos se normalizan a \([0,1]\), se cuantizan en 8 bits y se transmiten bajo tres condiciones: - **Ideal cuantizada:** control sin errores. - **Mismo circuito sin decodi"
65,44,1,cell_065_table_01.csv,72,10,"## 14.2 Protección QEC de NDVI, NDMI, NBR y combustible Los cuatro productos se normalizan a \([0,1]\), se cuantizan en 8 bits y se transmiten bajo tres condiciones: - **Ideal cuantizada:** control sin errores. - **Mismo circuito sin decodi"
66,45,1,cell_066_table_01.csv,24,9,"## 14.2 Protección QEC de NDVI, NDMI, NBR y combustible Los cuatro productos se normalizan a \([0,1]\), se cuantizan en 8 bits y se transmiten bajo tres condiciones: - **Ideal cuantizada:** control sin errores. - **Mismo circuito sin decodi"
68,46,1,cell_068_table_01.csv,5,15,"## 14.3 Propagación del efecto hacia CA, CNN, GNN y Transformer Para aislar el efecto del canal, los modelos conservan sus pesos y umbrales originales. En cada condición solo se reemplazan los canales espectrales: - canal 0: combustible rec"
69,47,1,cell_069_table_01.csv,72,36,"## 14.3 Propagación del efecto hacia CA, CNN, GNN y Transformer Para aislar el efecto del canal, los modelos conservan sus pesos y umbrales originales. En cada condición solo se reemplazan los canales espectrales: - canal 0: combustible rec"
70,48,1,cell_070_table_01.csv,24,18,"## 14.3 Propagación del efecto hacia CA, CNN, GNN y Transformer Para aislar el efecto del canal, los modelos conservan sus pesos y umbrales originales. En cada condición solo se reemplazan los canales espectrales: - canal 0: combustible rec"
72,56,1,cell_072_table_01.csv,24,34,## 14.3.4 Bootstrap jerárquico de la diferencia pareada MWPM − sin decodificación Las 30 combinaciones (6 corridas × 5 semillas) no se tratan como 30 incendios independientes. La **corrida de incendio es la unidad primaria de generalización
73,52,1,cell_073_table_01.csv,3,8,## 14.3.4 Bootstrap jerárquico de la diferencia pareada MWPM − sin decodificación Las 30 combinaciones (6 corridas × 5 semillas) no se tratan como 30 incendios independientes. La **corrida de incendio es la unidad primaria de generalización
73,52,2,cell_073_table_02.csv,8,6,## 14.3.4 Bootstrap jerárquico de la diferencia pareada MWPM − sin decodificación Las 30 combinaciones (6 corridas × 5 semillas) no se tratan como 30 incendios independientes. La **corrida de incendio es la unidad primaria de generalización
73,52,3,cell_073_table_03.csv,24,11,## 14.3.4 Bootstrap jerárquico de la diferencia pareada MWPM − sin decodificación Las 30 combinaciones (6 corridas × 5 semillas) no se tratan como 30 incendios independientes. La **corrida de incendio es la unidad primaria de generalización
75,57,1,cell_075_table_01.csv,15,16,"## 7.1 Variabilidad por semilla de entrenamiento CNN, GNN y Transformer se reentrenan con cinco semillas, manteniendo constantes la escena, las corridas de entrenamiento y prueba, los hiperparámetros y el criterio de evaluación. Para cada a"
75,57,2,cell_075_table_02.csv,3,8,"## 7.1 Variabilidad por semilla de entrenamiento CNN, GNN y Transformer se reentrenan con cinco semillas, manteniendo constantes la escena, las corridas de entrenamiento y prueba, los hiperparámetros y el criterio de evaluación. Para cada a"
